GEO_ID,NAME,zip,,P001001
8710000US4215510,ZCTA5,15510, Pennsylvania,2229
8710000US4215520,ZCTA5,15520, Pennsylvania,293
8710000US4215521,ZCTA5,15521, Pennsylvania,1872
8710000US4215522,ZCTA5,15522, Pennsylvania,12036
8710000US4215530,ZCTA5,15530, Pennsylvania,5368
8710000US4215531,ZCTA5,15531, Pennsylvania,3861
8710000US4215532,ZCTA5,15532, Pennsylvania,142
8710000US4215533,ZCTA5,15533, Pennsylvania,1370
8710000US4215534,ZCTA5,15534, Pennsylvania,932
8710000US4215535,ZCTA5,15535, Pennsylvania,2203
8710000US4215536,ZCTA5,15536, Pennsylvania,459
8710000US4215537,ZCTA5,15537, Pennsylvania,7952
8710000US4215538,ZCTA5,15538, Pennsylvania,824
8710000US4216133,ZCTA5,16133, Pennsylvania,1573
8710000US4216134,ZCTA5,16134, Pennsylvania,3886
8710000US4216136,ZCTA5,16136, Pennsylvania,801
8710000US4216137,ZCTA5,16137, Pennsylvania,12941
8710000US4216140,ZCTA5,16140, Pennsylvania,123
8710000US4216141,ZCTA5,16141, Pennsylvania,1806
8710000US4216142,ZCTA5,16142, Pennsylvania,7056
8710000US4216143,ZCTA5,16143, Pennsylvania,2901
8710000US4216145,ZCTA5,16145, Pennsylvania,2726
8710000US4216146,ZCTA5,16146, Pennsylvania,14040
8710000US4216153,ZCTA5,16153, Pennsylvania,2624
8710000US4216148,ZCTA5,16148, Pennsylvania,16959
8710000US4216150,ZCTA5,16150, Pennsylvania,7426
8710000US4216151,ZCTA5,16151, Pennsylvania,77
8710000US4216154,ZCTA5,16154, Pennsylvania,2492
8710000US4216155,ZCTA5,16155, Pennsylvania,103
8710000US4216156,ZCTA5,16156, Pennsylvania,3319
8710000US4216157,ZCTA5,16157, Pennsylvania,3477
8710000US4216159,ZCTA5,16159, Pennsylvania,4706
8710000US4216160,ZCTA5,16160, Pennsylvania,864
8710000US4216161,ZCTA5,16161, Pennsylvania,644
8710000US4216201,ZCTA5,16201, Pennsylvania,18214
8710000US4215028,ZCTA5,15028, Pennsylvania,142
8710000US4215030,ZCTA5,15030, Pennsylvania,1128
8710000US4215031,ZCTA5,15031, Pennsylvania,513
8710000US4215033,ZCTA5,15033, Pennsylvania,4910
